product_name,retail_price,used_price_avg,retail_link
헬로카봇 미니 스타렉스 댄디,7000,,https://smartstore.naver.com/main/products/11443102683
헬로카봇 미니 스타피너,7900,,https://search.shopping.naver.com/catalog/51775735620
헬로카봇 미니 스톰,7700,,https://search.shopping.naver.com/catalog/51671654618
헬로카봇 미니 스톰 X,7700,,https://search.shopping.naver.com/catalog/51671654618
헬로카봇 미니 스피너블,5500,5000,https://search.shopping.naver.com/catalog/51775394626
헬로카봇 미니 쏘나타 아티,6500,,https://search.shopping.naver.com/catalog/51775372626
헬로카봇 미니 쏘나타 아티 택시,5200,,https://smartstore.naver.com/main/products/12030627268
헬로카봇 미니 아이누크,6000,,https://search.shopping.naver.com/catalog/37826644618
헬로카봇 미니 아이언트,6000,,https://search.shopping.naver.com/catalog/51775394627
헬로카봇 미니 아티,6500,,https://search.shopping.naver.com/catalog/51775372626
헬로카봇 미니 아티 택시,8600,,https://smartstore.naver.com/main/products/11811833481
헬로카봇 미니 앵그리퍼프,7700,,https://smartstore.naver.com/main/products/6146637298
헬로카봇 미니 에이스,7900,,https://search.shopping.naver.com/catalog/51776285622
헬로카봇 미니 에이스 레스큐,7900,,https://search.shopping.naver.com/catalog/51776285622
헬로카봇 미니 에이스 레스큐 X,7300,5000,https://search.shopping.naver.com/catalog/32962715113
헬로카봇 미니 오토소닉,7000,5000,https://smartstore.naver.com/main/products/12030887212
헬로카봇 미니 우가바,6000,,https://smartstore.naver.com/main/products/12030830700
헬로카봇 미니 유니크루저,12860,,https://search.shopping.naver.com/catalog/55100826618
헬로카봇 미니 이글하이더,7300,,https://search.shopping.naver.com/catalog/51975914621
헬로카봇 미니 제트렌,7180,,https://search.shopping.naver.com/catalog/44035437499
헬로카봇 미니 제트크루저,13610,,https://search.shopping.naver.com/catalog/55154510837
헬로카봇 미니 컨버스터,7600,,https://search.shopping.naver.com/catalog/51855862627
헬로카봇 미니 테크노마스터,7900,,https://smartstore.naver.com/main/products/8360535035
헬로카봇 미니 트루,6690,,https://search.shopping.naver.com/catalog/48118380644
헬로카봇 미니 티라쿵,9480,,https://search.shopping.naver.com/catalog/51858692625
헬로카봇 미니 파워크루저,13000,,https://smartstore.naver.com/main/products/11420855808
헬로카봇 미니 파이언트,7250,,https://search.shopping.naver.com/catalog/51858049619
헬로카봇 미니 페이저,7180,,https://search.shopping.naver.com/catalog/51976332618
헬로카봇 미니 프론,8500,,https://search.shopping.naver.com/catalog/51675522618
헬로카봇 미니 프론 경찰차,6690,,https://search.shopping.naver.com/catalog/44333129886
헬로카봇 미니 프론 폴리스X,7900,,https://search.shopping.naver.com/catalog/51858486619
헬로카봇 미니 프테라쿵,23900,15000,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=1859486696&ctag=1859486696&lptag=I3160887248&itemId=3160887248&vendorItemId=70448994757&spec=10305199
헬로카봇 미니 호크,6954,2500,https://search.shopping.naver.com/catalog/44332993068
헬로카봇 뱅 나노티스 B,14700,,https://search.shopping.naver.com/catalog/43999156696
헬로카봇 뱅 잭슈트 뱅,13200,10000,https://smartstore.naver.com/main/products/10780756375
헬로카봇 버디가드,61000,10000,https://search.shopping.naver.com/catalog/21203165438
헬로카봇 베어하이더 변신로봇,44800,12500,https://smartstore.naver.com/main/products/6064864182
헬로카봇 본,24396,15000,https://search.shopping.naver.com/catalog/35677390157
헬로카봇 브론테로빅쿵 올스타,52500,9000,https://smartstore.naver.com/main/products/10500313142
헬로카봇 사파리세이버,105700,44500,https://search.shopping.naver.com/catalog/47181880622
헬로카봇 사파리세이버 올스타,105700,,https://search.shopping.naver.com/catalog/47181880622
헬로카봇 샌드버스터 변신로봇,23730,,https://search.shopping.naver.com/catalog/34956800619
헬로카봇 서포티붐 변신로봇,28000,,https://smartstore.naver.com/main/products/7182804162
헬로카봇 슈퍼패트론,121470,44852,https://search.shopping.naver.com/catalog/51613366621
헬로카봇 스나이퍼 젬,22800,,https://smartstore.naver.com/main/products/12170663034
헬로카봇 스카이,52500,,https://smartstore.naver.com/main/products/12103320093
헬로카봇 스카이 SWAT,27250,,https://search.shopping.naver.com/catalog/47239877618
헬로카봇 스카이 SWAT 올스타,42893,,https://search.shopping.naver.com/catalog/54191495176
헬로카봇 스크류붐바 변신로봇,38300,8000,https://search.shopping.naver.com/catalog/34394971618
헬로카봇 스타가디언,56900,,https://smartstore.naver.com/main/products/10770067059
헬로카봇 스타가디언 폴리스타,56900,,https://smartstore.naver.com/main/products/10770067059
헬로카봇 스타가디언 스카이스타,56900,,https://smartstore.naver.com/main/products/10770067059
헬로카봇 스타렉스 댄디 뉴구급차 올스타,43301,,https://search.shopping.naver.com/catalog/54190212268
헬로카봇 스타블래스터,76290,,https://www.11st.co.kr/connect/Gateway.tmall?method=Xsite&prdNo=1708990342&tid=1000000061
헬로카봇 스타피너 올스타,44730,40000,https://shopping.naver.com/outlink/itemdetail/10949483791
헬로카봇 스테쿵 올스타,18190,,https://search.shopping.naver.com/catalog/53175875280
헬로카봇 스톰다이버,21180,,https://search.shopping.naver.com/catalog/36349269765
헬로카봇 스피너블,49900,11833.33333,https://search.shopping.naver.com/catalog/19023975964
헬로카봇 아레스밤밤 변신로봇,35360,,https://smartstore.naver.com/main/products/10195318384
헬로카봇 아이누크,52165,11375,https://search.shopping.naver.com/catalog/51615298620
헬로카봇 아이누크 올스타,52165,25000,https://search.shopping.naver.com/catalog/51615298620
헬로카봇 아이언스타,24000,,https://search.shopping.naver.com/catalog/51977282624
헬로카봇 아이언트,58530,21000,https://smartstore.naver.com/main/products/11564166213
헬로카봇 아이언트 올스타,57580,,https://search.shopping.naver.com/catalog/51670856620
헬로카봇 아티,23520,8280,https://search.shopping.naver.com/catalog/38645195834
헬로카봇 아티 택시,23520,,https://search.shopping.naver.com/catalog/38645195834
헬로카봇 앵그리퍼프,47520,13000,https://search.shopping.naver.com/catalog/43315845991
헬로카봇 에반프라임 올스타,23050,,https://search.shopping.naver.com/catalog/54561635564
헬로카봇 에이스 레스큐,38500,12000,https://smartstore.naver.com/main/products/6047153343
헬로카봇 에이스 레스큐 올스타,47270,,https://search.shopping.naver.com/catalog/51670946620
헬로카봇 에이스 레스큐 X,38500,8333.333333,https://smartstore.naver.com/main/products/6047153343
헬로카봇 오토소닉 올스타,36840,,https://search.shopping.naver.com/catalog/51670856618
헬로카봇 우가바,32530,10000,https://search.shopping.naver.com/catalog/35819912496
헬로카봇 우가바 올스타,42190,,https://search.shopping.naver.com/catalog/49667119740
헬로카봇 우가바캡틴,32530,11000,https://search.shopping.naver.com/catalog/35819912496
헬로카봇 울티맥스,47110,7000,https://search.shopping.naver.com/catalog/51615556620
헬로카봇 울티맥스 올스타,47110,,https://search.shopping.naver.com/catalog/51615556620
헬로카봇 윙버드 젬,28690,12000,https://search.shopping.naver.com/catalog/39895607620
헬로카봇 유니크루저 변신로봇,98400,17333.33333,https://smartstore.naver.com/main/products/12226024908
헬로카봇 이그리붐 변신로봇,32000,5000,https://smartstore.naver.com/main/products/12158427991
헬로카봇 이글하이더 변신로봇,22000,10500,https://search.shopping.naver.com/catalog/38760595307
헬로카봇 인피니툴 톡시 젬 세트,46960,,https://smartstore.naver.com/main/products/9126592071
헬로카봇 일렉트롬,38960,,https://search.shopping.naver.com/catalog/55551936448
헬로카봇 자이언트로더,71770,28000,https://search.shopping.naver.com/catalog/55256962126
헬로카봇 자이언트로더 올스타,73960,27000,https://search.shopping.naver.com/catalog/51670621621
헬로카봇 저스포스,44460,13333.33333,https://search.shopping.naver.com/catalog/35326070716
헬로카봇 제트크루저 변신로봇,119000,15250,https://search.shopping.naver.com/catalog/35367211618
헬로카봇 캥복스 젬,19900,,https://search.shopping.naver.com/catalog/52042150618
헬로카봇 케이캅스,38970,22750,https://search.shopping.naver.com/catalog/53705512640
헬로카봇 큐어밤밤,17000,,https://smartstore.naver.com/main/products/10288656982
헬로카봇 킹가이더 변신로봇,94900,38250,https://smartstore.naver.com/main/products/11563908237
헬로카봇 킹가이즈 올스타,39900,,https://search.shopping.naver.com/catalog/54074766919
헬로카봇 킹가이즈X,43000,28000,https://search.shopping.naver.com/catalog/47238036619
헬로카봇 킹다이저,43000,9250,https://search.shopping.naver.com/catalog/47238036619
헬로카봇 테크노마스터,33200,10800,https://search.shopping.naver.com/catalog/35300743618
헬로카봇 토터 젬,47970,,https://smartstore.naver.com/main/products/10319054495
헬로카봇 티라쿵 올스타,24500,15000,https://smartstore.naver.com/main/products/11569707473
헬로카봇 파워붐바 변신로봇,32000,16000,https://smartstore.naver.com/main/products/10572100383
헬로카봇 파이어스타,60000,,https://search.shopping.naver.com/catalog/54313325008
헬로카봇 파이언트,115000,15000,https://search.shopping.naver.com/catalog/21203405490
헬로카봇 페이저,25570,3200,https://search.shopping.naver.com/catalog/34758342082
헬로카봇 펜타스톰 X 라이프 캐논 모드,175000,63000,https://search.shopping.naver.com/catalog/47234098618
헬로카봇 펜타스톰 X 빅큐브,94560,22345,https://search.shopping.naver.com/catalog/51763662852
헬로카봇 포레밤밤,33500,,https://search.shopping.naver.com/catalog/37312014619
헬로카봇 폰 X,22192,,https://search.shopping.naver.com/catalog/49256778204
헬로카봇 푸르디붐 변신로봇,27200,,https://smartstore.naver.com/main/products/7182781035
헬로카봇 프라우드제트,36460,15683.33333,https://search.shopping.naver.com/catalog/37314643618
헬로카봇 프론 경찰차 올스타,39500,5000,https://search.shopping.naver.com/catalog/47237157620
헬로카봇 프론경찰차,7690,10000,https://search.shopping.naver.com/catalog/51426962164
헬로카봇 프테라쿵 올스타,21160,,https://search.shopping.naver.com/catalog/53288985071
헬로카봇 하이퍼캅스 변신로봇,64000,40000,https://smartstore.naver.com/main/products/6870771928
헬로카봇 호크X 빅큐브,36770,30000,https://search.shopping.naver.com/catalog/53033436439
헬로카봇 황금특공대 유니크루저,159000,7000,https://smartstore.naver.com/main/products/5982722085
헬로카봇 제트렌,48500,9250,https://search.shopping.naver.com/catalog/51670946619
헬로카봇 황금특공대 제트렌,48500,,https://search.shopping.naver.com/catalog/51670946619
헬로카봇 황금특공대 제트크루저,119000,,https://search.shopping.naver.com/catalog/35367211618
헬로카봇 황금특공대 파워크루저,95090,40000,https://search.shopping.naver.com/catalog/35367054618
헬로카봇 황금특공대 펜타스톰,140000,58750,https://search.shopping.naver.com/catalog/52821983322
헬로카봇 X 라이프 X,39130,25000,https://search.shopping.naver.com/catalog/47412268620
헬로카봇 스카이 스와트 X,27250,14150,https://search.shopping.naver.com/catalog/47239877618
헬로카봇 스톰 X 빅큐브,94560,15000,https://search.shopping.naver.com/catalog/51763662852
헬로카봇 프론 폴리스 X,36400,22300,https://search.shopping.naver.com/catalog/23785364854
헬로카봇_로드세이버,54940,25473.33333,https://search.shopping.naver.com/catalog/51427190635
헬로카봇 티라클레스,33000,28806.66667,https://search.shopping.naver.com/catalog/15144096618
헬로카봇 브레이로드,43790,10000,https://search.shopping.naver.com/catalog/52821269020
헬로카봇 펀치마스터,32900,21000,https://search.shopping.naver.com/catalog/54419993603
헬로카봇 하이퍼빌디언,137000,42401.42857,https://smartstore.naver.com/main/products/11563959682
헬로카봇 그랜저 호크 레드,8600,,https://link.gmarket.co.kr/gate/pcs?item-no=1104166119&sub-id=1003&service-code=10000003&lcd=100000042
헬로카봇 호프 타이거,56900,15100,https://smartstore.naver.com/main/products/11317269131
헬로카봇 트루 스와트 올스타,7210,,https://search.shopping.naver.com/catalog/27397498043
헬로카봇 케이캅스 스와트 올스타 세트,102240,,https://smartstore.naver.com/main/products/10337611794
헬로카봇 우가바 X,35500,,https://search.shopping.naver.com/catalog/51049460290
헬로카봇 빅터,41069,,https://search.shopping.naver.com/catalog/47181831623
헬로카봇 카봇 X,39810,,https://search.shopping.naver.com/catalog/55539423646
헬로카봇 뱅 호스퍼스 B,12094,,https://search.shopping.naver.com/catalog/25601979382
헬로카봇 듀크 포크레인,58900,15800,https://smartstore.naver.com/main/products/12037989667
헬로카봇 폰,22700,10000,https://search.shopping.naver.com/catalog/43492405170
헬로카봇 스카이거너,6900,,https://smartstore.naver.com/main/products/10973758991
헬로카봇 아반떼 프론,39930,,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=5024047131&ctag=5024047131&lptag=I6740905418&itemId=6740905418&vendorItemId=74033824827&spec=10305199
